Date,Value
2026-03-17T16:26:45.525602,1120
2026-03-17T16:27:47.041741,1120
2026-03-17T16:28:34.484937,1120
2026-03-17T16:29:26.578788,1120
2026-03-17T16:30:16.330913,1120
2026-03-17T16:30:59.303615,1120
2026-03-17T16:32:40.350262,1120
2026-03-17T16:33:21.990668,1120
2026-03-17T16:34:02.838313,1120
2026-03-17T16:34:45.865496,1120
2026-03-17T16:35:29.800786,1120
2026-03-17T16:36:14.169207,1120
2026-03-17T16:36:57.303514,1120
2026-03-17T16:37:36.652806,1120
2026-03-17T16:38:11.426070,1120
2026-03-17T16:38:47.471759,1120
2026-03-17T16:39:28.526134,1120
2026-03-18T14:13:18.715278,1120
2026-03-18T14:14:14.442740,1120
2026-03-18T14:15:00.061148,1120
2026-03-19T15:52:05.243244,1120
2026-03-19T17:56:21.860965,1120
2026-03-19T18:02:31.246439,1120
2026-03-19T18:44:08.800383,1120
2026-03-22T20:59:05.680988,1120
2026-03-22T20:59:58.682553,1120
2026-03-22T21:02:41.905031,1120
2026-03-22T21:35:49.008004,1120
2026-03-22T21:36:23.187121,1120
2026-03-22T21:37:03.161061,1120
2026-03-22T21:38:06.954541,1120
2026-03-22T21:42:50.205565,1120
2026-03-22T21:47:31.311466,1120
2026-03-22T21:48:10.074350,1120
2026-03-22T21:48:57.743957,1120
2026-03-22T21:49:20.683315,1120
2026-03-22T21:49:59.098630,1120
2026-03-22T21:50:46.229944,1120
2026-03-22T21:51:26.476889,1120
2026-03-22T21:52:08.700212,1120
2026-03-22T21:53:05.728632,1120
2026-03-22T22:09:17.072668,1120
2026-03-22T22:15:26.568274,1120
2026-03-22T22:16:06.666833,1120
2026-03-22T22:17:34.127550,1120
2026-03-23T00:42:16.837569,1120
2026-03-26T12:17:14.791715,1120
2026-03-26T12:17:53.687887,1120
2026-03-26T12:18:46.329909,1120
2026-03-26T12:19:33.951594,1120
2026-03-26T12:20:29.874266,1120
2026-03-26T12:21:10.330161,1120
2026-03-27T10:00:40.609633,1100
2026-03-27T10:01:28.629915,1100
2026-03-27T10:02:12.783845,1100
2026-03-30T11:43:29.866058,1100
2026-03-30T16:13:31.786472,1100
2026-03-30T16:14:17.088692,1100
2026-03-30T16:15:03.319816,1100
2026-03-30T16:16:14.330955,1100
2026-03-30T16:16:54.636887,1100
2026-03-30T16:17:34.746083,1100
2026-03-30T16:18:16.332667,1100
2026-03-30T16:18:55.066774,1100
2026-03-30T16:19:31.343994,1100
2026-03-30T16:20:05.615067,1100
2026-03-30T16:20:41.860665,1100
2026-03-30T17:50:01.487808,1100
2026-03-31T13:34:14.089177,1100
2026-03-31T13:34:50.263799,1100
2026-03-31T13:35:31.552972,1100
2026-04-01T14:11:17.487515,1100
2026-04-01T14:11:53.789326,1100
2026-04-01T14:12:29.813892,1100
2026-04-01T14:13:08.523034,1100
2026-04-01T14:13:47.084338,1100
2026-04-01T14:14:30.601513,1100
2026-04-01T14:14:58.585001,1100
2026-04-01T14:15:39.419827,1140
2026-04-01T14:16:16.079509,1140
2026-04-01T14:21:22.650869,1140
2026-04-01T14:22:45.184120,1140
2026-04-01T14:23:27.319909,1140
2026-04-01T14:24:04.225906,1140
2026-04-01T14:24:39.786603,1140
2026-04-01T17:53:39.235729,1140
2026-04-01T17:54:18.664136,1140
2026-04-01T17:55:59.039012,1140
2026-04-01T17:56:35.327078,1140
2026-04-06T16:16:50.712044,1140
2026-04-09T16:44:18.813367,1140
2026-04-09T16:44:43.601685,1140
2026-04-09T16:45:21.923874,1140
2026-04-09T16:45:43.453484,1140
2026-04-09T16:46:23.929263,1140
2026-04-09T16:47:04.570088,1140
2026-04-17T16:08:22.092301,1100
2026-04-17T16:09:13.517710,1100
2026-04-17T16:09:41.087879,1100
2026-04-17T16:10:25.124399,1100
2026-04-17T16:11:04.777403,1100
2026-04-17T16:11:49.336248,1100
2026-04-17T16:12:27.933097,1100
2026-04-17T16:13:20.307333,1100
2026-04-17T16:14:38.035237,1100
2026-04-24T11:39:57.737518,1100
2026-04-24T11:41:08.472841,1100
2026-04-24T11:41:47.156138,1100
2026-04-24T11:42:24.674692,1100
2026-04-24T11:43:03.530239,1100
2026-04-24T11:43:46.051045,1100
2026-04-24T11:44:46.506909,1100
2026-04-25T19:39:01.561930,1200
2026-04-25T19:39:33.110049,1160
2026-04-27T13:17:23.780120,1160
2026-04-27T13:19:06.674748,1160
2026-04-27T13:19:53.122190,1160
2026-04-27T13:20:40.633068,1160
2026-04-27T13:21:18.162272,1160
2026-04-27T13:21:53.485378,1160
2026-04-27T13:22:31.376242,1160
2026-04-27T20:10:28.090180,1160
2026-05-07T16:05:37.074125,1160
2026-05-07T16:06:06.288468,1160
2026-05-07T16:06:39.183472,1160
2026-05-07T16:07:53.689473,1160
2026-05-07T16:08:31.569914,1160
2026-05-12T12:03:57.241508,1160
2026-05-12T12:05:43.442258,1160
2026-05-12T12:06:29.052546,1160
2026-05-12T12:10:34.804569,1160
2026-05-12T12:11:22.684527,1160
2026-05-12T12:12:08.076857,1160
2026-05-12T12:12:58.079022,1160
2026-05-12T12:15:29.615119,1100
2026-05-12T12:16:11.646642,1100
2026-05-12T12:16:54.906010,1100
2026-05-12T12:17:53.783110,1100
2026-05-12T12:25:47.223525,1240
2026-05-12T12:30:26.885397,1240
2026-05-12T12:31:25.397460,1240
2026-05-12T12:37:30.416601,1240
2026-05-12T12:39:35.491051,1240
2026-05-12T12:41:11.479377,1240
2026-05-12T12:41:59.299844,1240
2026-05-12T13:14:42.049429,1240
2026-05-12T13:15:26.671259,1240
2026-05-13T13:03:35.808148,1240
2026-05-13T13:04:27.158631,1240
2026-05-13T13:06:12.919269,1240
2026-05-13T13:06:43.373807,1240
2026-05-13T13:08:43.855815,1240
2026-05-13T13:10:17.088979,1240
2026-05-13T13:12:02.170425,1240
2026-05-13T13:12:35.655600,1240
2026-05-13T14:40:28.147734,1100
2026-05-13T14:42:50.714487,1100
2026-05-13T15:48:14.944676,1100
2026-05-13T15:49:20.457689,1100
2026-05-13T15:49:52.578210,1100
2026-05-13T15:50:36.810480,1100
2026-05-13T15:51:39.826838,1100
2026-05-13T15:52:24.849862,1100
2026-05-13T15:53:12.787390,1100
2026-05-13T15:53:37.427939,1100
2026-05-13T15:54:00.129652,1100
2026-05-13T15:54:27.907000,1100
2026-05-13T15:55:17.589180,1100
2026-05-13T15:55:45.947082,1100
2026-05-13T15:56:15.066632,1100
2026-05-13T16:14:26.863111,1100
2026-05-13T16:14:52.747857,1100
2026-05-13T16:15:16.369602,1100
2026-05-13T16:15:47.444780,1100
2026-05-13T16:16:08.872334,1100
2026-05-13T16:16:34.482190,1100
2026-05-13T16:17:01.097946,1100
2026-05-13T16:17:24.332587,1100
2026-05-13T16:17:42.710822,1100
2026-05-13T16:24:17.400170,1100
2026-05-19T13:33:03.891330,1100
2026-05-19T13:34:18.445570,1100
2026-05-19T13:35:10.130614,1100
2026-05-19T14:05:21.058034,1240
2026-05-19T14:06:15.570122,1240
2026-05-19T14:06:58.441651,1240
2026-05-19T14:07:52.018930,1240
2026-05-19T14:08:51.524232,1240
2026-05-19T14:09:56.565064,1240
2026-05-19T14:39:20.399207,1240
2026-05-19T14:42:46.633994,1240
2026-05-19T14:43:33.515980,1240
2026-05-20T14:43:11.933053,1240
2026-05-20T14:43:33.930387,1240
2026-05-20T14:44:00.622931,1240
2026-05-21T11:17:02.960293,1240
2026-05-21T11:17:48.490378,1240
2026-05-21T11:40:41.545331,1240
2026-05-21T11:41:10.214610,1240
2026-05-21T11:41:38.494869,1240
2026-05-21T11:42:42.160458,1100
2026-05-21T11:43:11.008149,1100
2026-05-21T11:43:57.607254,1100
2026-05-21T11:44:45.979586,1100
2026-05-21T11:45:36.220762,1100
2026-05-21T11:46:21.879533,1100
2026-05-21T11:47:10.723851,1100
2026-05-21T11:47:58.097828,1100
2026-05-21T11:48:41.957044,1100
2026-05-21T11:51:56.459804,1100
2026-05-21T11:56:16.776084,1100
2026-05-21T12:13:42.772184,1100
2026-05-21T12:15:01.239513,1100
2026-05-21T12:15:53.009415,1100
2026-05-21T12:30:59.392458,1100
2026-05-21T12:31:40.253990,1100
2026-05-21T14:17:42.842395,1100
2026-05-21T14:18:20.329239,1100
2026-05-21T14:19:37.690601,1100
2026-05-21T14:20:21.249563,1100
2026-05-21T14:20:45.602029,1100
2026-05-21T14:21:20.021345,1100
2026-05-21T14:22:23.240730,1100
2026-05-21T14:24:08.205904,1100
2026-05-21T14:24:29.443637,1100
2026-05-21T14:26:19.429791,1100
2026-05-21T14:29:07.053606,1100
2026-05-21T14:29:24.438673,1100
2026-05-21T14:29:57.741569,1100
2026-05-21T14:30:44.354574,1100
2026-05-21T14:34:03.964439,1100
2026-05-28T18:08:46.851188,1100
